CPU: ID 0x306a9, Processor Type 0x0, Family 0x6, Model 0x3a, Stepping 0x9
Northbridge: 8086:0154 (3rd generation (Ivy Bridge family) Core Processor (Mobile))
Southbridge: 8086:1e57 (HM77)
IGD: 8086:0166 (Intel(R) HD 4000 Graphics)

============= GPIOS =============

GPIOBASE = 0x0500 (IO)

gpiobase+0x0000: 0xbdebfdff (GPIO_USE_SEL)
gpiobase+0x0000: 0xb96ba1ff (GPIO_USE_SEL) DEFAULT
gpiobase+0x0000: 0x04805c00 (GPIO_USE_SEL) DIFF
gpiobase+0x0004: 0xaf166eff (GP_IO_SEL)
gpiobase+0x0004: 0xeeff6eff (GP_IO_SEL) DEFAULT
gpiobase+0x0004: 0x41e90000 (GP_IO_SEL) DIFF
gpiobase+0x0008: 0x00000000 (RESERVED)
gpiobase+0x000c: 0xdf9a6fb7 (GP_LVL)
gpiobase+0x000c: 0x02fe0100 (GP_LVL) DEFAULT
gpiobase+0x000c: 0xdd646eb7 (GP_LVL) DIFF
gpiobase+0x0010: 0x00000000 (RESERVED)
gpiobase+0x0014: 0x00000000 (RESERVED)
gpiobase+0x0018: 0x00000000 (GPO_BLINK)
gpiobase+0x0018: 0x00040000 (GPO_BLINK) DEFAULT
gpiobase+0x0018: 0x00040000 (GPO_BLINK) DIFF
gpiobase+0x001c: 0x00000000 (GP_SER_BLINK)
gpiobase+0x0020: 0x00080000 (GP_SB_CMDSTS)
gpiobase+0x0024: 0x00000000 (GP_SB_DATA)
gpiobase+0x0028: 0x0000     (GPI_NMI_EN)
gpiobase+0x002a: 0x0000     (GPI_NMI_STS)
gpiobase+0x002c: 0x000040b2 (GPI_INV)
gpiobase+0x002c: 0x00000000 (GPI_INV) DEFAULT
gpiobase+0x002c: 0x000040b2 (GPI_INV) DIFF
gpiobase+0x0030: 0x13ff80fe (GPIO_USE_SEL2)
gpiobase+0x0030: 0x020300fe (GPIO_USE_SEL2) DEFAULT
gpiobase+0x0030: 0x11fc8000 (GPIO_USE_SEL2) DIFF
gpiobase+0x0034: 0x1f04ffe6 (GP_IO_SEL2)
gpiobase+0x0034: 0x1f57fff4 (GP_IO_SEL2) DEFAULT
gpiobase+0x0034: 0x00530012 (GP_IO_SEL2) DIFF
gpiobase+0x0038: 0xbead9fc6 (GP_LVL2)
gpiobase+0x0038: 0xa4aa0007 (GP_LVL2) DEFAULT
gpiobase+0x0038: 0x5a079fc1 (GP_LVL2) DIFF
gpiobase+0x003c: 0x00000000 (RESERVED)
gpiobase+0x0040: 0x000006ff (GPIO_USE_SEL3)
gpiobase+0x0040: 0x00000030 (GPIO_USE_SEL3) DEFAULT
gpiobase+0x0040: 0x000006cf (GPIO_USE_SEL3) DIFF
gpiobase+0x0044: 0x00000ff0 (GP_IO_SEL3)
gpiobase+0x0048: 0x00000ff0 (GP_LVL3)
gpiobase+0x0048: 0x000000c0 (GP_LVL3) DEFAULT
gpiobase+0x0048: 0x00000f30 (GP_LVL3) DIFF
gpiobase+0x004c: 0x00000000 (RESERVED)
gpiobase+0x0050: 0x00000000 (RESERVED)
gpiobase+0x0054: 0x00000000 (RESERVED)
gpiobase+0x0058: 0x00000000 (RESERVED)
gpiobase+0x005c: 0x00000000 (RESERVED)
gpiobase+0x0060: 0x00008800 (GP_RST_SEL1)
gpiobase+0x0060: 0x01000000 (GP_RST_SEL1) DEFAULT
gpiobase+0x0060: 0x01008800 (GP_RST_SEL1) DIFF
gpiobase+0x0064: 0x00000000 (GP_RST_SEL2)
gpiobase+0x0068: 0x00000000 (GP_RST_SEL3)
gpiobase+0x006c: 0x00000000 (RESERVED)
gpiobase+0x0070: 0x00000000 (RESERVED)
gpiobase+0x0074: 0x00000000 (RESERVED)
gpiobase+0x0078: 0x00000000 (RESERVED)
gpiobase+0x007c: 0x00000000 (RESERVED)



============= RCBA ==============

RCBA = 0xfed1c000 (MEM)

0x0050: 0x812a0654
0x0054: 0x00000789
0x0400: 0x00000500
0x0404: 0xfedcb210
0x0800: 0x20100808
0x0804: 0x01000404
0x0808: 0x04210444
0x080c: 0x01110000
0x0810: 0x00660000
0x0818: 0x00170017
0x081c: 0x00000f0f
0x0820: 0xf7401111
0x0824: 0x11111111
0x0834: 0x0003303c
0x0838: 0x04124054
0x0900: 0x00004000
0x0984: 0x00000010
0x0988: 0x00400010
0x098c: 0x00440000
0x0990: 0x00002000
0x0994: 0x00006000
0x1000: 0x20100808
0x1004: 0x01000404
0x1008: 0x04210444
0x100c: 0x01110000
0x1010: 0x00007731
0x1020: 0x20100808
0x1024: 0x01000404
0x1028: 0x04210f11
0x102c: 0x04210000
0x1030: 0x00040010
0x1034: 0x0003303c
0x1038: 0x045a419a
0x1100: 0x00006000
0x1104: 0x00000700
0x1114: 0x00000005
0x1194: 0x00002000
0x1d48: 0x00030000
0x1e80: 0x00fc1001
0x1e84: 0x000200f0
0x2014: 0x80000019
0x2020: 0x81000022
0x2030: 0x82000044
0x2040: 0x87000080
0x2084: 0x00100000
0x2088: 0x00109000
0x2094: 0x00002000
0x20ac: 0x40000000
0x21a4: 0x00023c42
0x21a8: 0x40420003
0x21b0: 0x00000002
0x2230: 0x00010000
0x2234: 0x0000000f
0x2238: 0x00000941
0x2240: 0x00c10a4b
0x2244: 0x00cd0a8b
0x2248: 0x00f50fe7
0x224c: 0x009c0000
0x2250: 0x00a80000
0x2254: 0x00610217
0x2258: 0x006100cc
0x2260: 0x0025025a
0x2268: 0x000c0028
0x226c: 0x00b20000
0x2270: 0x00be0000
0x2274: 0x00c20b05
0x2278: 0x004e0d2c
0x227c: 0x005a0d54
0x2280: 0x00800000
0x2284: 0x008c0000
0x2288: 0x0051008c
0x228c: 0x00000001
0x2298: 0x000c0028
0x22a0: 0x000b0000
0x22a4: 0x00100040
0x2304: 0xc03b8400
0x2308: 0x28000016
0x230c: 0x4abcb5bc
0x2310: 0xa809605b
0x2314: 0x0a2c0020
0x2318: 0x04b8f982
0x231c: 0x03950983
0x2320: 0x00008002
0x2324: 0x00854c74
0x2328: 0x00421731
0x2330: 0xea004000
0x2334: 0x00000084
0x2338: 0x00000600
0x2340: 0x003a001b
0x2344: 0xff0c000c
0x3020: 0xffffffff
0x3024: 0xffffffff
0x3028: 0xffffffff
0x302c: 0xffffffff
0x3030: 0xffffffff
0x3034: 0xffffffff
0x3038: 0xffffffff
0x303c: 0xffffffff
0x3040: 0xffffffff
0x3044: 0xffffffff
0x3048: 0xffffffff
0x304c: 0xffffffff
0x3050: 0xffffffff
0x3054: 0xffffffff
0x3058: 0xffffffff
0x305c: 0xffffffff
0x3060: 0xffffffff
0x3064: 0xffffffff
0x3068: 0xffffffff
0x306c: 0xffffffff
0x3070: 0xffffffff
0x3074: 0xffffffff
0x3078: 0xffffffff
0x307c: 0xffffffff
0x3080: 0xffffffff
0x3084: 0xffffffff
0x3088: 0xffffffff
0x308c: 0xffffffff
0x3090: 0xffffffff
0x3094: 0xffffffff
0x3098: 0xffffffff
0x309c: 0xffffffff
0x30a0: 0xffffffff
0x30a4: 0xffffffff
0x30a8: 0xffffffff
0x30ac: 0xffffffff
0x30b0: 0xffffffff
0x30b4: 0xffffffff
0x30b8: 0xffffffff
0x30bc: 0xffffffff
0x30c0: 0xffffffff
0x30c4: 0xffffffff
0x30c8: 0xffffffff
0x30cc: 0xffffffff
0x30d0: 0xffffffff
0x30d4: 0xffffffff
0x30d8: 0xffffffff
0x30dc: 0xffffffff
0x30e0: 0xffffffff
0x30e4: 0xffffffff
0x30e8: 0xffffffff
0x30ec: 0xffffffff
0x30f0: 0xffffffff
0x30f4: 0xffffffff
0x30f8: 0xffffffff
0x30fc: 0xffffffff
0x3100: 0x03243200
0x3108: 0x00014321
0x310c: 0x43214321
0x3110: 0x00000001
0x3114: 0x40004321
0x3118: 0x00000001
